product_name,product_category,brand,company,price,launch_date,first_sale,last_sale,total_units,months_data
CARICEF SUSP DRY 100MG 30ML,CEFIXIME,CARICEF,SAM,259.25,2001-01-01,2022-12-01,2025-11-01,14844633,36
CARICEF CAPS 400MG 5,CEFIXIME,CARICEF,SAM,459.0,2001-01-01,2022-12-01,2025-11-01,11195906,36
CEFSPAN CAPS 400MG 5,CEFIXIME,CEFSPAN,BGO,620.5,1993-07-01,2022-12-01,2025-11-01,10425370,36
CEFSPAN SUSP DRY 100MG 30ML,CEFIXIME,CEFSPAN,BGO,347.65,1991-04-01,2022-12-01,2025-11-01,10390668,36
CEBOSH SUSP DRY 100MG/PAED 30ML,CEFIXIME,CEBOSH,B6H,259.25,2002-05-01,2022-12-01,2025-11-01,8681083,36
CEFIGET SUSP DRY 100MG 30ML,CEFIXIME,CEFIGET,GTZ,267.61,2007-05-01,2022-12-01,2025-11-01,7802149,36
CARICEF SUSP DRY D.S 200MG 30ML,CEFIXIME,CARICEF,SAM,314.5,2007-11-01,2022-12-01,2025-11-01,6003971,36
CEFSPAN SUSP DRY D.S 200MG 30ML,CEFIXIME,CEFSPAN,BGO,425.85,2002-04-01,2022-12-01,2025-11-01,5909372,36
MIXEL CAPS 400MG 5,CEFIXIME,MIXEL,HQI,492.64,2011-02-01,2022-12-01,2025-11-01,5469660,36
MIXEL SUSP DRY 100MG 30ML,CEFIXIME,MIXEL,HQI,272.85,2010-11-01,2022-12-01,2025-11-01,4810518,36
CEFIGET CAPS 400MG 5,CEFIXIME,CEFIGET,GTZ,479.53,2007-08-01,2022-12-01,2025-11-01,4363710,36
EFIX SUSP DRY 100MG 30ML,CEFIXIME,EFIX,HIG,267.61,2009-10-01,2022-12-01,2025-11-01,4287965,36
CEF-OD SUSP DRY 100MG 30ML,CEFIXIME,CEF-OD,C.C,267.61,2007-08-01,2022-12-01,2025-11-01,4268051,36
CEBOSH CAPS 400MG 5,CEFIXIME,CEBOSH,B6H,459.0,2002-05-01,2022-12-01,2025-11-01,3924819,36
CEFIDON SUSP DRY 100MG 30ML,CEFIXIME,CEFIDON,DOV,267.61,2018-10-01,2022-12-01,2025-11-01,3920691,36
CEFIM SUSP DRY 100MG 30ML,CEFIXIME,CEFIM,HL.,250.11,2000-09-01,2022-12-01,2025-11-01,3621572,36
CEFIGET SUSP DRY D.S 200MG 30ML,CEFIXIME,CEFIGET,GTZ,317.05,2007-05-01,2022-12-01,2025-11-01,3495989,36
CEBOSH SUSP DRY D.S 200MG 30ML,CEFIXIME,CEBOSH,B6H,314.5,2005-10-01,2022-12-01,2025-11-01,3425422,36
MAXPAN SUSP DRY 100MG 30ML,CEFIXIME,MAXPAN,IND,255.0,2005-05-01,2022-12-01,2025-11-01,2406477,36
CEFIM CAPS 400MG 5,CEFIXIME,CEFIM,HL.,433.5,2000-09-01,2022-12-01,2025-11-01,2192989,36
LINZIM SUSP DRY 100MG 30ML,CEFIXIME,LINZIM,L3Z,242.25,2005-04-01,2022-12-01,2025-11-01,2079646,36
CEFIA CAPS 400MG 5,CEFIXIME,CEFIA,CXH,458.15,2019-06-01,2022-12-01,2025-11-01,1981962,36
EFIX CAPS 400MG 5,CEFIXIME,EFIX,HIG,444.42,2009-10-01,2022-12-01,2025-11-01,1881810,36
MIXEL SUSP DRY D.S 200MG 30ML,CEFIXIME,MIXEL,HQI,351.1,2010-11-01,2022-12-01,2025-11-01,1862388,36
MAXIMA CAPS 400MG 5,CEFIXIME,MAXIMA,MTR,398.24,2003-06-01,2022-12-01,2025-11-01,1858172,36
MIXEL CAPS 200MG 5,CEFIXIME,MIXEL,HQI,258.28,2011-02-01,2022-12-01,2025-11-01,1814935,36
FIXITIL SUSP DRY 100MG 30ML,CEFIXIME,FIXITIL,T9P,233.75,2000-07-01,2022-12-01,2025-11-01,1770521,36
MAXIMA SUSP DRY 100MG 30ML,CEFIXIME,MAXIMA,MTR,229.76,2003-06-01,2022-12-01,2025-11-01,1696071,36
EFIX SUSP DS 200MG 30ML,CEFIXIME,EFIX,HIG,327.49,2017-09-01,2022-12-01,2025-11-01,1582030,36
CEF-OD CAPS 400MG 5,CEFIXIME,CEF-OD,C.C,479.54,2007-08-01,2022-12-01,2025-11-01,1537662,36
CARICEF TABS 200MG 10,CEFIXIME,CARICEF,SAM,509.29,2012-02-01,2022-12-01,2025-11-01,1531026,36
FLEXERIL SUSP DRY 100MG 30ML,CEFIXIME,FLEXERIL,GLB,153.0,2008-03-01,2022-12-01,2025-11-01,1438489,36
CEF-OD SUSP DRY D.S 200MG 30ML,CEFIXIME,CEF-OD,C.C,327.5,2009-02-01,2022-12-01,2025-11-01,1421773,36
CEFIA SUSP 100MG/5ML 30ML,CEFIXIME,CEFIA,CXH,258.4,2019-06-01,2022-12-01,2025-11-01,1413743,36
CEFIM SUSP DRY D.S 200MG 30ML,CEFIXIME,CEFIM,HL.,301.75,2006-06-01,2022-12-01,2025-11-01,1410662,36
CEFEXOL SUSP DRY 100MG 30ML,CEFIXIME,CEFEXOL,NQM,267.61,2000-09-01,2022-12-01,2025-11-01,1362349,36
ORPASE CAPS 400MG 5,CEFIXIME,ORPASE,MD.,425.0,2005-07-01,2022-12-01,2025-11-01,1239458,36
CEBOSH TABS 200MG 10,CEFIXIME,CEBOSH,B6H,442.0,2007-02-01,2022-12-01,2025-11-01,1218683,36
FIXICEF SUSP DRY 100MG 30ML,CEFIXIME,FIXICEF,AT3,242.49,2017-01-01,2022-12-01,2025-11-01,1215724,36
CEFIGET TABS F.C. 200MG 10,CEFIXIME,CEFIGET,GTZ,487.05,2009-08-01,2022-12-01,2025-11-01,1158979,36
WAYBAC SUSP DRY 100MG 30ML,CEFIXIME,WAYBAC,WOO,166.35,2009-01-01,2022-12-01,2025-11-01,1062185,36
CORINEF SUSP DRY 100MG 30ML,CEFIXIME,CORINEF,ICI,267.61,2004-08-01,2022-12-01,2025-11-01,936695,36
CEBOSH TABS 400MG 5,CEFIXIME,CEBOSH,B6H,459.0,2007-11-01,2022-12-01,2025-11-01,934853,36
IBOXIME SUSP DRY 100MG 30ML,CEFIXIME,IBOXIME,HHC,255.0,2019-03-01,2022-12-01,2025-11-01,915867,36
IBOXIME CAPS 400MG 5,CEFIXIME,IBOXIME,HHC,459.0,2019-03-01,2022-12-01,2025-11-01,902044,36
OMIXIM SUSP DRY 100MG 30ML,CEFIXIME,OMIXIM,SEA,255.0,2008-08-01,2022-12-01,2025-11-01,889987,36
LINZIM SUSP DRY D.S 200MG 30ML,CEFIXIME,LINZIM,L3Z,297.5,2012-01-01,2022-12-01,2025-11-01,830395,36
CORINEF CAPS 400MG 5,CEFIXIME,CORINEF,ICI,479.55,2004-08-01,2022-12-01,2025-11-01,823694,36
X-FIX SUSP DRY 100MG 30ML,CEFIXIME,X-FIX,GX4,264.35,2019-04-01,2022-12-01,2025-11-01,819291,36
ORPASE SUSP DRY 100MG 30ML,CEFIXIME,ORPASE,MD.,259.95,2005-07-01,2022-12-01,2025-11-01,813879,36
MAXPAN SUSP DRY 200MG 30ML,CEFIXIME,MAXPAN,IND,323.0,2005-05-01,2022-12-01,2025-11-01,810966,36
